snapshot_time,universe_id,game_name,genre,genre_l1,genre_l2,playing_ccu,total_visits,favorited_count,up_votes,down_votes,like_ratio,favorites_per_1k_visits,favorites_per_visit,engagement_score,created_date,age_days,max_players,creator_name,creator_type,has_verified_badge,tier,is_breakout,breakout_year,ccu_rank
2026-03-18 20:47,1077961373,Giant Simulator,All,Simulation,Incremental Simulator,44,163499040,588324,175747,32878,0.8424,3.5983,0.00359833,0.01153898,2019-03-22,2553,15,Mithril Games,Group,False,lower_mid,False,,47
2026-03-18 20:47,81762198,[Sides] Vehicle Simulator,Town and City,Simulation,Vehicle Sim,16,665610742,3375999,1098829,133131,0.8919,5.072,0.00507203,0.01281725,2014-08-08,4240,16,Simbuilder,User,False,mid,False,,48
2026-03-18 20:47,1344222621,malymal91's Place,All,,,0,0,0,0,0,0.0,0.0,0.0,0.0,2019-09-29,2361,10,malymal91,User,False,mid,False,,49
2026-03-18 20:47,67400893,efrenda's Place,All,,,0,0,0,0,0,0.0,0.0,0.0,0.0,2014-01-26,4433,10,efrenda,User,False,lower_mid,False,,50
2026-03-18 20:47,1090335239,aleor3210's Place,All,,,0,0,0,0,0,0.0,0.0,0.0,0.0,2019-03-31,2544,10,aleor3210,User,False,lower_mid,False,,51
2026-03-18 20:47,2755335127,####'s Place,All,,,0,0,0,0,0,0.0,0.0,0.0,0.0,2021-07-19,1703,50,Account Forgotten (4807689427),User,False,lower_mid,False,,52
2026-03-18 20:47,4494776745,chgcchfhcfvggjgvhc's Place,All,,,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-03-19,1094,50,chgcchfhcfvggjgvhc,User,False,mid,False,,53
2026-03-18 20:47,4747349896,rgost1's Place,All,,,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-06-07,1015,50,rgost1,User,False,mid,False,,54
2026-03-18 20:47,1557606948,ProPro1052's Place,All,,,0,0,0,0,0,0.0,0.0,0.0,0.0,2020-02-17,2220,10,ProPro1052,User,False,mid,False,,55
2026-03-18 20:47,498598030,puppyluver112232's Place,All,,,0,0,0,0,0,0.0,0.0,0.0,0.0,2017-12-05,3024,10,puppyluver112232,User,False,mid,False,,56
